CountryID,Country Name,Region,World Rank,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom
90,Kyrgyz Republic,Asia-Pacific,82,20.0,24.0,93.6,53.2,73.7,85.0,73.8,80.2,60.0,50.0
91,Lao P.D.R.,Asia-Pacific,150,15.0,26.0,86.2,86.8,59.5,57.1,74.5,58.6,30.0,20.0
92,Latvia,Europe,37,50.0,53.0,84.4,59.2,82.1,61.5,83.8,88.0,85.0,50.0
93,Lebanon,Middle East / North Africa,94,20.0,28.0,91.3,70.6,54.7,60.7,72.0,75.8,60.0,60.0
94,Lesotho,Sub-Saharan Africa,155,35.0,49.0,68.5,0.0,54.7,63.9,75.2,64.6,45.0,40.0
95,Liberia,Sub-Saharan Africa,141,25.0,38.0,83.0,69.9,60.1,43.9,72.7,74.4,40.0,20.0
98,Lithuania,Europe,15,60.0,57.0,92.9,61.3,84.9,62.0,81.2,88.0,80.0,80.0
99,Luxembourg,Europe,21,90.0,80.0,62.3,42.2,71.3,42.1,80.7,88.0,95.0,80.0
100,Macau,Asia-Pacific,34,60.0,49.7,71.8,91.8,60.0,50.0,74.9,90.0,85.0,70.0
101,Macedonia,Europe,53,35.0,44.0,91.4,65.6,79.2,70.7,79.0,86.2,60.0,60.0
102,Madagascar,Sub-Saharan Africa,79,45.0,28.0,90.9,94.7,62.3,45.1,79.2,71.8,50.0,50.0
103,Malawi,Sub-Saharan Africa,126,40.0,37.0,78.5,49.0,49.1,63.1,53.8,72.2,55.0,50.0
104,Malaysia,Asia-Pacific,31,55.0,50.0,84.4,74.0,93.5,75.7,80.8,80.0,55.0,60.0
105,Maldives,Asia-Pacific,134,25.0,21.9,95.5,50.6,85.8,73.4,74.1,47.8,30.0,30.0
106,Mali,Sub-Saharan Africa,119,25.0,28.0,69.6,89.2,47.2,50.7,81.1,73.2,60.0,40.0
107,Malta,Europe,58,75.0,56.0,63.1,44.4,61.0,55.6,81.8,88.0,80.0,60.0
108,Mauritania,Sub-Saharan Africa,135,25.0,30.0,80.2,59.8,50.5,52.1,76.6,69.0,50.0,40.0
109,Mauritius,Sub-Saharan Africa,10,65.0,52.0,91.9,87.4,78.0,68.2,77.6,88.4,85.0,70.0
110,Mexico,North America,59,50.0,34.0,77.8,78.0,71.5,59.9,77.6,85.6,70.0,60.0
111,Micronesia,Asia-Pacific,154,30.0,30.0,93.2,0.0,51.0,79.1,76.9,81.0,25.0,30.0
112,Moldova,Europe,111,40.0,35.0,85.1,51.8,66.8,40.6,76.1,79.8,50.0,50.0
113,Mongolia,Asia-Pacific,96,30.0,38.0,83.9,35.6,68.2,82.7,69.2,74.8,50.0,60.0
114,Montenegro,Europe,66,40.0,44.0,92.6,36.7,77.1,77.5,79.7,84.8,65.0,50.0
115,Morocco,Middle East / North Africa,89,40.0,37.0,70.9,61.0,68.8,33.4,81.9,78.2,70.0,60.0
116,Mozambique,Sub-Saharan Africa,125,30.0,30.0,75.2,66.5,60.9,37.9,82.0,75.4,40.0,50.0
117,Namibia,Sub-Saharan Africa,93,30.0,48.0,66.7,56.0,64.3,90.9,74.3,71.2,55.0,40.0
118,Nepal,Asia-Pacific,152,30.0,31.0,85.6,88.9,65.7,44.3,70.5,61.8,5.0,30.0
119,Netherlands,Europe,17,90.0,83.0,51.8,23.8,84.3,66.3,79.8,88.0,90.0,80.0
120,New Zealand,Asia-Pacific,3,95.0,91.0,70.4,43.0,95.5,91.4,87.6,86.8,80.0,80.0
121,Nicaragua,South and Central America / Caribbean,108,10.0,28.0,78.4,76.6,58.0,56.7,67.8,85.4,65.0,50.0
122,Niger,Sub-Saharan Africa,127,30.0,34.0,76.6,83.6,39.2,40.9,81.3,65.6,55.0,40.0
123,Nigeria,Sub-Saharan Africa,120,30.0,25.0,85.2,76.1,48.3,77.7,70.4,63.8,40.0,40.0
124,Norway,Europe,27,90.0,86.0,52.1,43.8,92.1,48.2,81.7,89.4,75.0,60.0
